branchNumber,branchName,branchBuildingNumber,branchStreetName,branchSubdistrict,branchDistrict,branchProvince,branchPostalCode,branchEmail
1,Tanachon,295,Pattaya Klang,Nong prue,Banglamung,Chonburi,20150,Tanachon.brighthouse@gmail.com
2,Rada Villa,5/2,Tsai Mul Phattana,Klong Na,Bangpakong,Chachoengsao,24130,RadaVilla.brighthouse@gmail.com
3,Sukhumwat,8/15,Yotatikarn,Koh chang,Koh chang,Trat,23170,Sukhumwat.brighthouse@gmail.com
4,Home Peace Home,155,Thetsaban 42,Ban chang,Ban chang,Rayong,21130,HomePeaceHome.brighthouse@gmail.com
5,Chonsun,119/2,Chantraburi - Srakaew,Saikhao,Soi dao,Chanthaburi,22180,Chonsun.brighthouse@gmail.com
6,Pattaya Grand Palace,3/14,Leabchaihad,Samaesan,Sattahip,Chonburi,20180,PattayaGrandPalace.brighthouse@gmail.com
7,Suwanna Home,96,Sukhumvit,Wang wa,Klaeng,Rayong,21110,SuwannaHome.brighthouse@gmail.com
8,Dolphin Sleep,26,6038,Ko kut,Ko kut,Trat,23000,DolphinSleep.brighthouse@gmail.com
9,Popcorn Bed,104,Chantraburi - Srakaew,Pong Nam Ron,Pong nam ron,Chanthaburi,22140,PopcornBed.brighthouse@gmail.com
10,Hokage,280,Meuang Kao,Phanat nikhom,Phanat nikhom,Chonburi,20140,Hokage.brighthouse@gmail.com
