workAttendanceTime,workGetOffTime,workHourEmployeeNum
2017-01-01 08:02:42.410,2017-01-09 08:02:43.410,29
2017-01-01 08:04:46.860,2017-01-09 08:04:47.860,28
2017-01-01 08:13:06.740,2017-01-09 08:13:07.740,26
2017-01-01 08:17:09.120,2017-01-09 08:17:10.120,16
2017-01-01 08:20:00.420,2017-01-09 08:20:01.420,1
2017-01-01 08:21:42.550,2017-01-09 08:21:43.550,41
2017-01-01 08:50:09.690,2017-01-09 08:50:10.690,50
2017-01-01 09:12:37.670,2017-01-09 09:12:38.670,3
2017-01-01 09:16:39.190,2017-01-09 09:16:40.190,49
2017-01-01 09:16:40.700,2017-01-09 09:16:41.700,5
2017-01-01 09:50:01.120,2017-01-09 09:50:02.120,35
2017-01-01 11:27:11.200,2017-01-09 11:27:12.200,32
2017-01-01 11:59:33.610,2017-01-09 11:59:34.610,23
2017-01-01 12:09:27.260,2017-01-09 12:09:28.260,12
2017-01-01 13:06:11.110,2017-01-09 13:06:12.110,43
2017-01-01 13:41:09.390,2017-01-09 13:41:10.390,21
2017-01-01 13:55:41.760,2017-01-09 13:55:42.760,16
2017-01-01 14:13:38.000,2017-01-09 14:13:39.000,38
2017-01-01 14:19:23.050,2017-01-09 14:19:24.050,23
2017-01-01 15:16:57.940,2017-01-09 15:16:58.940,20
2017-01-01 17:59:53.620,2017-01-09 17:59:54.620,1
2017-01-01 18:56:19.070,2017-01-09 18:56:20.070,32
2017-01-01 19:51:55.250,2017-01-09 19:51:56.250,25
2017-01-01 20:00:47.380,2017-01-09 20:00:48.380,5
2017-01-01 20:07:43.530,2017-01-09 20:07:44.530,44
2017-01-01 20:23:54.460,2017-01-09 20:23:55.460,6
2017-01-01 20:30:32.650,2017-01-09 20:30:33.650,16
2017-01-01 22:19:46.120,2017-01-09 22:19:47.120,17
2017-01-01 23:00:10.950,2017-01-09 23:00:11.950,13
2017-01-01 23:16:32.980,2017-01-09 23:16:33.980,29
2017-01-01 23:35:52.690,2017-01-09 23:35:53.690,45
2017-01-01 23:41:07.420,2017-01-09 23:41:08.420,47
2017-01-02 00:01:58.330,2017-01-10 00:01:59.330,17
2017-01-02 00:04:27.120,2017-01-10 00:04:28.120,18
2017-01-02 00:28:01.010,2017-01-10 00:28:02.010,33
2017-01-02 00:28:18.310,2017-01-10 00:28:19.310,15
2017-01-02 00:28:30.850,2017-01-10 00:28:31.850,24
2017-01-02 02:23:52.310,2017-01-10 02:23:53.310,24
2017-01-02 02:46:58.830,2017-01-10 02:46:59.830,38
2017-01-02 03:07:14.660,2017-01-10 03:07:15.660,21
2017-01-02 03:08:29.800,2017-01-10 03:08:30.800,21
2017-01-02 04:25:24.010,2017-01-10 04:25:25.010,48
2017-01-02 05:34:31.480,2017-01-10 05:34:32.480,21
2017-01-02 05:48:51.950,2017-01-10 05:48:52.950,48
2017-01-02 06:16:23.740,2017-01-10 06:16:24.740,39
2017-01-02 07:18:09.880,2017-01-10 07:18:10.880,38
2017-01-02 07:20:15.540,2017-01-10 07:20:16.540,14
2017-01-02 07:26:01.470,2017-01-10 07:26:02.470,33
2017-01-02 07:43:33.020,2017-01-10 07:43:34.020,11
2017-01-02 07:44:00.760,2017-01-10 07:44:01.760,10
