actionFeedbackNumber,actionEmployeeNum,progressStartTime,progressFinishTime
1,1,2017-09-06 22:41:58.070,2017-10-19 05:24:29.750
2,1,2018-09-11 18:20:36.440,
3,1,2019-02-15 17:29:08.780,2019-03-10 08:54:59.780
4,1,2018-12-01 12:02:22.370,2019-01-11 22:11:42.250
5,1,2018-11-25 10:56:25.760,2018-12-25 18:52:19.590
6,1,2017-06-07 22:15:15.910,2017-07-05 21:46:19.860
7,1,2017-09-30 21:01:07.980,2017-11-04 06:12:34.450
8,1,2019-02-16 17:29:15.130,2019-02-20 00:51:49.250
9,1,2019-02-19 15:06:33.260,2019-02-22 03:14:55.820
10,1,2019-11-25 22:40:46.670,2019-12-11 10:22:51.650
11,1,2017-07-12 04:25:19.170,2017-07-23 08:02:47.940
12,1,2017-10-25 23:43:46.920,
13,1,2017-03-05 11:16:52.440,2017-03-10 19:13:23.830
14,1,2017-11-17 16:56:00.570,2017-11-30 02:32:45.510
15,1,2018-10-18 20:16:38.210,2018-10-25 05:26:01.680
16,1,2018-01-27 06:59:59.910,
17,1,2018-09-17 10:45:40.930,2018-10-20 00:30:13.530
18,1,2018-01-06 09:20:43.310,2018-01-12 12:16:50.840
19,1,2018-10-21 23:54:13.530,
20,1,2017-10-23 00:55:48.030,2017-11-21 08:47:47.270
21,2,2019-02-23 17:12:09.450,2019-03-29 18:18:03.120
22,2,2017-08-03 20:43:06.400,2017-08-29 17:39:33.810
23,2,2017-07-07 14:57:03.800,2017-07-30 09:09:12.290
24,2,2017-02-04 18:47:25.980,2017-02-16 15:46:45.870
25,2,2018-02-03 07:53:56.320,2018-02-07 23:44:03.050
26,2,2019-08-08 05:56:48.310,
27,2,2019-08-01 07:34:48.970,2019-08-14 10:47:25.870
28,2,2018-03-29 06:49:50.400,2018-04-18 18:54:40.380
29,2,2018-08-04 08:49:06.410,2018-08-13 09:17:24.840
30,2,2019-01-10 04:23:32.120,2019-02-25 20:15:12.890
31,2,2018-07-06 20:06:47.770,
32,2,,
33,2,2017-10-14 11:01:15.770,2017-11-26 20:34:03.220
34,2,2018-04-04 00:03:09.150,2018-05-04 13:34:16.130
35,2,2018-12-08 12:57:08.720,2018-12-11 09:17:34.060
36,2,2019-06-24 16:19:04.650,2019-08-04 12:46:24.190
37,2,2019-03-30 01:38:48.930,2019-05-15 10:07:55.940
38,2,2018-09-15 02:40:16.830,2018-09-28 11:54:56.750
39,2,2017-02-12 09:42:21.810,2017-02-20 03:32:15.830
40,2,2017-10-30 16:40:05.440,2017-11-08 10:46:16.460
41,3,2019-06-19 15:33:17.720,2019-06-28 10:16:05.260
42,3,2018-06-28 15:01:50.810,2018-08-01 12:43:43.580
43,3,2019-09-11 16:44:14.200,2019-10-06 21:40:36.160
44,3,2019-10-21 11:38:01.540,2019-11-10 18:41:27.590
45,3,2017-02-12 14:57:22.090,2017-03-13 17:46:07.030
46,3,2017-05-15 13:38:58.060,
47,3,2019-10-26 21:23:34.070,
48,3,2017-04-18 08:24:30.570,2017-05-27 07:11:44.620
49,3,2017-01-31 14:54:33.170,2017-03-19 21:16:22.300
50,3,2017-06-21 14:11:03.820,2017-07-01 21:21:23.550
51,3,2018-12-16 14:46:39.710,2019-01-30 18:51:22.620
52,3,2018-10-05 06:50:04.600,2018-10-09 22:49:13.830
53,3,2019-02-20 08:19:43.030,2019-03-14 04:58:34.400
54,3,2017-02-26 13:53:39.130,2017-03-03 12:05:20.280
55,3,2019-04-25 20:01:21.730,2019-06-04 21:51:12.140
56,3,2019-02-27 18:39:21.880,2019-03-06 21:01:11.630
57,3,2019-07-28 07:22:42.960,2019-09-01 20:02:28.610
58,3,2018-08-02 08:09:05.320,2018-08-08 21:44:44.600
59,3,2019-12-05 11:48:00.280,
60,3,2018-12-25 15:52:42.790,2019-02-10 23:17:20.630
61,4,2018-07-30 22:42:10.300,
62,4,2019-06-24 07:13:25.250,
63,4,2017-06-29 05:47:03.170,
64,4,2019-03-01 09:41:23.840,2019-04-02 22:50:48.700
65,4,2017-12-25 09:31:50.540,
66,4,2018-07-08 06:15:23.970,
67,4,2018-02-18 07:04:01.940,2018-02-21 14:21:37.540
68,4,2017-09-04 13:38:55.850,
69,4,2019-07-22 23:56:39.760,2019-07-25 13:00:16.310
70,4,2019-08-17 11:47:47.480,2019-08-21 06:04:48.300
71,4,2019-10-23 01:07:52.200,2019-12-04 01:01:52.170
72,4,2018-04-28 01:00:10.610,2018-04-30 22:05:17.840
73,4,2017-08-15 00:08:49.840,2017-08-28 13:29:59.010
74,4,2017-10-21 21:30:58.480,2017-12-10 19:39:18.570
75,4,2018-12-07 08:09:19.010,2018-12-14 02:55:25.850
76,4,2017-08-12 20:39:09.740,2017-08-23 11:55:05.600
77,4,2017-06-11 13:43:59.220,2017-07-04 15:57:57.560
78,4,,
79,4,2019-09-07 16:16:22.500,2019-10-26 11:16:13.380
80,4,2017-11-19 01:03:06.930,2017-12-15 03:12:47.700
81,5,2018-04-12 15:11:27.740,2018-05-10 19:26:56.310
82,5,2017-08-25 22:39:12.880,2017-10-13 05:54:57.270
83,5,2017-03-29 13:20:33.890,2017-04-13 10:03:38.980
84,5,2017-08-04 05:36:38.990,2017-08-19 20:11:11.570
85,5,2018-09-22 23:29:12.800,2018-11-10 22:43:42.340
86,5,2017-02-08 18:12:58.670,2017-03-04 20:46:51.180
87,5,2018-06-07 14:14:12.210,2018-07-01 20:27:52.220
88,5,2018-11-18 04:12:51.640,2018-12-04 19:15:10.030
89,5,2017-06-13 01:59:06.030,2017-07-07 05:31:15.550
90,5,2018-07-01 16:52:12.680,2018-08-14 01:59:03.730
91,5,2018-01-06 23:10:10.530,2018-02-14 11:18:13.340
92,5,2018-08-17 04:25:34.720,2018-09-17 05:17:19.710
93,5,2017-05-28 19:26:40.320,2017-06-09 19:00:47.860
94,5,2017-11-03 19:05:45.750,2017-11-30 17:26:02.300
95,5,2017-12-07 05:28:30.940,2018-01-16 02:51:16.310
96,5,2018-12-09 14:33:57.980,2019-01-25 06:19:37.050
97,5,2018-11-03 08:07:29.770,2018-12-20 07:09:30.260
98,5,2019-06-25 17:32:33.010,2019-07-26 06:14:54.960
99,5,2018-12-16 15:23:19.020,2019-01-24 22:46:36.640
100,5,2018-11-17 16:29:23.210,2019-01-03 22:58:32.900
101,6,2017-05-01 21:33:25.990,
