recordInventoryEntryNumber,recordEmployeeNum,entryRecordTimestamp
1,1,2017-02-07 13:21:25.360
1,2,2017-02-07 13:21:25.360
1,3,2017-02-07 13:21:25.360
2,1,2017-08-24 06:32:17.950
2,5,2017-08-24 06:32:17.950
3,1,2018-09-06 01:44:19.180
3,2,2018-09-06 01:44:19.180
4,1,2017-03-06 18:26:59.330
4,2,2017-03-06 18:26:59.330
5,1,2017-03-08 09:36:26.320
5,2,2017-03-08 09:36:26.320
5,7,2017-03-08 09:36:26.320
6,1,2017-03-03 15:58:51.570
7,1,2017-12-22 20:55:09.860
8,1,2017-07-09 11:26:21.720
9,1,2019-08-14 23:42:21.330
9,2,2019-08-14 23:42:21.330
10,1,2018-12-16 03:00:39.390
10,3,2018-12-16 03:00:39.390
11,1,2019-06-29 07:08:42.940
12,1,2017-07-18 11:18:23.980
13,1,2017-12-12 21:34:15.050
14,1,2019-09-08 17:11:31.140
15,1,2018-11-07 19:53:52.090
16,1,2018-06-19 00:00:03.910
17,1,2017-08-04 15:08:17.340
18,1,2017-02-21 02:59:37.680
19,1,2018-02-23 03:17:07.770
20,1,2019-10-07 15:28:54.950
21,2,2017-03-14 14:05:19.480
22,2,2017-12-02 17:48:27.340
23,2,2019-10-16 09:32:08.060
24,2,2018-06-08 15:56:24.820
25,2,2017-10-04 21:09:05.420
26,2,2017-11-15 03:54:53.090
27,2,2017-03-18 21:55:49.960
28,2,2018-03-25 12:23:26.860
29,2,2019-04-21 18:27:11.590
30,2,2018-05-21 10:41:39.290
31,2,2017-02-10 11:27:22.490
32,2,2018-05-01 17:20:15.400
33,2,2018-05-06 19:51:44.970
34,2,2017-03-07 12:33:03.620
35,2,2018-11-26 20:54:04.440
36,2,2018-03-17 03:48:24.700
37,2,2017-06-01 16:41:15.000
38,2,2019-12-07 16:12:04.130
39,2,2017-04-12 10:23:55.430
40,2,2018-11-22 15:20:01.130
41,3,2019-12-27 07:36:43.870
42,3,2019-05-03 04:28:19.390
43,3,2019-06-24 00:38:13.330
44,3,2019-05-07 17:27:12.320
45,3,2019-07-29 03:28:32.360
46,3,2019-01-02 20:47:53.170
47,3,2017-12-04 14:11:51.530
48,3,2019-12-10 04:37:47.060
49,3,2018-10-29 05:28:44.670
50,3,2019-12-04 13:22:38.860
51,3,2019-06-01 01:36:24.210
52,3,2018-03-01 20:38:46.890
53,3,2017-09-14 21:21:05.700
54,3,2018-09-29 13:57:05.940
55,3,2018-06-29 00:29:20.340
56,3,2017-07-19 19:15:15.780
57,3,2019-05-25 06:42:18.960
58,3,2019-03-02 23:36:12.930
59,3,2018-12-18 01:43:16.520
60,3,2019-08-18 20:56:57.940
61,4,2018-07-13 13:11:18.490
62,4,2017-08-16 05:45:04.250
63,4,2017-02-21 01:49:21.920
64,4,2019-01-27 22:28:51.620
65,4,2017-05-15 05:37:27.140
66,4,2017-04-09 08:12:23.510
67,4,2017-03-20 10:36:12.530
68,4,2018-01-10 18:39:42.950
69,4,2019-03-26 06:27:43.200
70,4,2017-10-20 06:54:52.330
71,4,2017-01-08 16:10:06.040
72,4,2019-08-12 19:53:48.270
73,4,2017-08-14 08:40:15.060
74,4,2017-04-30 10:30:12.910
75,4,2017-11-04 18:16:01.970
76,4,2018-09-16 02:11:37.470
77,4,2019-10-07 06:04:22.590
78,4,2019-04-11 15:45:57.120
79,4,2019-06-24 09:37:34.530
80,4,2018-09-17 04:18:59.320
81,5,2019-08-18 11:36:43.740
82,5,2017-10-30 20:36:57.210
83,5,2019-04-08 11:00:48.900
84,5,2019-05-11 03:57:58.390
85,5,2018-04-27 16:41:07.940
86,5,2019-08-24 11:07:37.330
87,5,2017-11-17 09:24:30.570
88,5,2017-10-28 01:17:58.070
89,5,2019-01-16 16:33:00.240
90,5,2019-10-05 07:06:10.860
91,5,2018-10-10 19:23:18.810
92,5,2018-09-13 03:38:56.810
93,5,2018-12-03 16:10:26.280
94,5,2018-03-20 14:47:29.060
95,5,2017-05-20 04:24:23.290
96,5,2017-12-02 16:55:43.000
97,5,2019-05-09 17:42:56.990
98,5,2017-07-06 15:23:20.830
99,5,2017-10-16 12:06:22.510
100,5,2019-01-25 23:22:58.360
101,6,2017-06-09 09:17:09.460
102,6,2018-05-11 22:52:01.400
103,6,2019-10-05 19:02:07.220
104,6,2019-03-11 12:56:40.180
105,6,2018-09-20 17:25:27.420
106,6,2019-04-23 21:47:57.510
107,6,2017-06-06 05:06:30.590
108,6,2018-07-17 08:58:45.650
109,6,2019-08-14 19:30:16.550
110,6,2019-04-04 14:38:05.650
111,6,2019-08-20 19:53:46.190
112,6,2017-12-19 12:43:33.930
113,6,2018-09-27 02:34:43.610
114,6,2019-06-18 15:49:25.030
115,6,2017-12-29 10:22:52.870
116,6,2018-03-07 10:17:40.770
117,6,2017-04-11 23:30:27.640
118,6,2019-11-27 10:33:44.420
119,6,2019-12-04 14:22:40.120
120,6,2018-03-20 14:14:35.370
121,7,2019-01-03 09:46:10.900
122,7,2018-08-22 06:04:19.160
123,7,2017-08-31 16:04:54.640
124,7,2018-03-16 22:37:46.660
125,7,2019-10-13 22:18:27.570
126,7,2018-05-26 14:03:56.120
127,7,2017-04-28 11:36:52.720
128,7,2018-08-20 04:18:01.580
129,7,2017-10-28 17:08:58.540
130,7,2018-03-05 15:35:31.010
131,7,2017-07-23 00:50:22.480
