rentalNumber,rentalType,rentalDeposit,rentalStartingTime,rentalEndingTime,rentalBranchNumber,rentalRoomNumber,rentalBookingCustomerNum,rentalReservationNumber
1,M,3000,2017-06-11 05:51:53.560,2017-09-09 10:01:58.950,8,107,146,146
2,M,3000,2017-05-11 09:20:04.330,2017-11-03 19:06:54.210,9,105,164,164
3,M,3000,2017-05-09 06:54:57.200,2017-07-31 14:06:08.960,8,205,154,154
4,M,3000,2017-03-11 15:54:41.140,2017-06-21 09:22:38.090,6,204,112,112
5,M,3000,2017-02-15 19:13:20.320,2017-06-09 09:53:40.620,3,101,42,42
6,M,3000,2017-02-25 23:27:03.640,2017-04-02 16:21:24.280,6,204,112,112
7,M,3000,2017-06-07 00:28:03.700,2017-08-20 11:17:21.330,10,102,182,182
8,M,3000,2017-03-05 17:42:00.430,2017-07-23 11:21:18.350,5,204,89,89
9,M,3000,2017-02-16 08:59:05.080,2017-04-21 10:14:26.950,10,302,196,196
10,M,3000,2017-06-04 05:45:55.750,2017-08-02 16:47:17.210,3,205,55,55
11,M,3000,2017-04-27 20:15:39.140,2017-07-14 03:36:53.560,4,103,59,59
12,M,3000,2017-04-05 09:19:19.020,2017-06-05 08:00:10.640,5,301,94,94
13,M,3000,2017-05-22 20:19:13.920,2017-08-26 07:45:06.170,7,202,127,127
14,M,3000,2017-06-22 05:33:44.510,2017-10-01 08:55:04.330,5,301,94,94
15,M,3000,2017-02-25 05:59:25.800,2017-08-05 14:17:08.970,10,303,197,197
16,M,3000,2017-05-27 07:15:20.600,2017-08-25 17:34:01.290,1,202,7,7
17,M,3000,2017-04-29 10:51:59.120,2017-05-30 00:12:06.770,9,301,173,173
18,M,3000,2017-02-23 18:11:14.800,2017-07-21 08:00:28.510,10,305,200,200
19,M,3000,2017-06-06 20:25:49.740,2017-11-16 17:14:20.100,7,304,136,136
20,M,3000,2017-06-14 03:34:59.040,2017-08-25 14:54:42.700,4,202,63,63
21,M,3000,2017-04-22 00:32:08.060,2017-08-31 22:50:18.570,9,105,164,164
22,M,3000,2017-03-25 19:19:58.630,2017-07-24 22:56:03.130,9,204,170,170
23,M,3000,2017-06-13 01:13:53.300,2017-07-21 00:14:00.340,10,304,199,199
24,M,3000,2017-04-25 15:32:43.110,2017-10-11 10:12:58.850,1,202,7,7
25,M,3000,2017-06-23 00:55:22.850,2017-07-30 09:41:10.980,8,103,140,140
26,M,3000,2017-05-03 19:22:37.280,2017-07-11 22:23:18.610,6,104,106,106
27,M,3000,2017-02-14 14:20:47.020,2017-08-08 10:31:38.600,10,202,187,187
28,M,3000,2017-03-04 21:38:01.160,2017-08-08 19:40:11.730,8,102,138,138
29,M,3000,2017-03-06 01:16:24.590,2017-06-19 14:47:06.180,6,203,110,110
30,M,3000,2017-03-23 22:17:43.280,2017-05-14 19:59:21.310,1,302,17,17
31,M,3000,2017-05-28 06:28:49.880,2017-07-19 15:03:12.370,2,303,38,38
32,M,3000,2017-05-10 15:07:50.890,2017-10-28 15:59:21.900,5,205,91,91
