rentalPeriodRentalNumber,rentalPeriodStartingTime,rentalPeriodEndingTime,periodCategory,rentalFee,rentalPeriodBillingNumber,rentalPeriodLineNumber
1,2017-04-25 01:31:28.690,2017-09-04 08:36:01.600,M,6000.0000,406,67456
1,2017-10-15 20:03:21.900,2018-03-11 10:29:03.280,M,6000.0000,198,106851
1,2017-12-24 03:39:47.780,2018-03-13 20:36:17.320,M,6000.0000,615,21513
1,2018-10-08 10:45:22.720,2018-11-24 16:37:25.280,M,6000.0000,1,836
1,2018-10-16 04:25:20.430,2019-01-25 07:34:25.880,M,6000.0000,301,126874
1,2019-06-28 06:14:33.880,2019-11-17 03:56:43.080,M,8000.0000,99,8767
1,2019-07-05 21:49:39.790,2019-12-14 01:11:11.000,M,6000.0000,511,77162
1,2019-07-11 13:42:49.340,2020-01-07 10:55:35.070,M,6000.0000,718,127821
2,2017-10-04 12:14:42.200,2018-01-28 09:02:35.390,M,8000.0000,99,11635
2,2017-11-23 06:49:15.510,2018-05-18 06:56:33.150,M,6000.0000,1,6306
2,2018-06-22 01:29:20.670,2018-09-29 19:08:39.490,M,6000.0000,511,84467
2,2018-09-11 04:35:33.370,2018-11-15 12:41:53.560,M,6000.0000,198,129851
2,2018-10-05 08:51:22.710,2019-03-25 13:33:50.400,M,8000.0000,301,127874
2,2019-08-02 22:45:28.570,2019-11-21 08:10:26.120,M,6000.0000,406,77536
3,2017-05-23 16:55:33.740,2017-10-27 05:46:22.700,M,8000.0000,301,128874
3,2017-07-10 02:18:23.190,2017-12-26 07:17:35.180,M,6000.0000,1,7096
3,2018-04-05 11:39:24.210,2018-08-19 16:18:44.900,M,6000.0000,511,104425
3,2018-04-18 15:17:01.440,2018-05-22 08:44:57.240,M,6000.0000,199,1147
3,2018-07-30 01:02:37.440,2018-09-16 14:24:02.840,M,6000.0000,406,88456
3,2019-01-27 15:39:08.010,2019-03-18 20:44:44.690,M,6000.0000,99,13509
3,2019-05-20 22:58:06.470,2019-10-08 12:02:02.660,M,6000.0000,615,35326
3,2019-08-07 02:07:56.410,2020-02-05 09:05:09.030,M,6000.0000,719,52
4,2017-04-13 03:40:04.810,2017-06-05 16:18:10.020,M,6000.0000,199,3054
4,2017-08-12 14:37:48.360,2017-11-30 01:08:54.560,M,6000.0000,719,7501
4,2017-12-30 01:57:38.020,2018-03-26 15:52:10.920,M,6000.0000,406,101953
4,2018-05-23 20:13:03.000,2018-09-10 19:26:22.370,M,6000.0000,511,105467
4,2018-08-13 14:04:34.470,2019-01-25 20:38:10.170,M,6000.0000,1,11244
4,2018-10-10 07:58:57.090,2019-02-23 17:31:38.650,M,6000.0000,302,171
4,2019-04-18 11:35:10.640,2019-09-27 08:59:59.190,M,6000.0000,615,42513
4,2019-06-09 14:32:35.910,2019-08-31 07:42:45.960,M,8000.0000,99,18247
5,2017-08-18 05:04:25.370,2017-10-17 10:49:00.140,M,6000.0000,615,53454
