requestedBillingNumber,requestedLineNumber,requestedServiceChargeAmount,requestedServiceNumber
1,836,4056.9456,14343
1,6306,592.0823,13639
1,7096,4419.8548,13977
1,11244,4557.5324,13133
1,14858,1472.9936,13508
1,17171,3029.5014,10987
1,21836,3318.5887,8803
1,27306,4032.8225,11275
1,35858,4891.8678,10029
1,42836,1651.5097,10528
1,53244,2633.4645,12653
1,63836,2422.0602,13687
1,77858,1035.9293,7860
1,84836,3136.7862,10580
1,101171,2252.2291,10758
1,105836,1486.6167,8586
1,126836,1417.5934,12265
1,127836,803.0639,12363
1,128836,1892.0970,9951
2,244,4238.8086,11800
2,3203,691.5085,7849
2,6583,1092.6823,13632
2,10986,1109.7687,9685
2,14614,2160.4857,10764
2,17030,2790.9362,12359
2,20874,433.8616,12437
2,21244,2409.6782,14519
2,27583,3747.5674,12587
2,35614,3757.0373,12315
2,41874,1838.2161,8737
2,42244,2883.1687,13847
2,52986,3487.3577,11633
2,62874,3942.7020,8007
2,63244,250.3850,11731
2,77614,2112.5789,11259
2,84244,2371.5946,13308
2,101030,2624.0936,14558
2,105244,2664.7332,14111
2,125874,995.2092,14184
2,126244,980.6440,11212
2,127244,3770.9100,13146
2,128244,788.6307,10935
3,2114,4387.4810,12856
3,2681,4811.5338,12441
3,6270,1182.0086,13539
3,10318,495.7076,9812
3,13626,3001.8788,10963
3,17052,3462.3825,14385
3,23114,2143.0776,12280
3,27270,786.7113,11429
3,34626,1291.8679,13286
3,44114,1508.2628,9119
3,52318,1353.8299,9671
3,65114,4461.2006,7563
3,76626,4162.0769,8964
3,86114,579.7349,11421
3,101052,1124.6774,7645
3,107114,695.5921,11676
3,130114,2330.4628,8601
4,3251,1509.3594,7460
4,3881,1469.5404,13538
4,7377,2796.1511,8068
4,9818,3756.6693,14302
4,13481,2110.8908,11780
4,18312,2293.6149,9656
4,24251,1382.8995,12401
4,28377,509.8803,8567
4,34481,948.7501,11920
4,45251,4940.3923,8884
4,51818,3441.3210,9734
4,66251,4093.2254,14322
4,76481,3918.2720,9281
4,87251,726.7189,10736
4,102312,2890.1820,9000
4,108251,1495.7409,10288
4,131251,1483.0677,14386
5,2186,2907.7306,13900
5,3563,785.1804,13720
5,6460,1286.1748,9321
5,10956,667.9979,8726
5,13724,1805.7491,7492
5,18614,2503.8445,10015
5,20668,4234.6601,11314
5,23186,830.3294,7437
5,27460,1592.9784,12680
5,34724,2580.9542,12020
5,41668,1640.7915,7419
5,44186,289.0629,11129
5,52956,3336.5573,11887
5,62668,3220.5989,9411
5,65186,2685.3695,11995
5,76724,2284.8155,11080
5,86186,3699.1996,12014
5,102614,2769.7370,9998
5,107186,4656.1887,11670
5,125668,427.5915,10932
5,130186,4542.9894,11574
6,121,4216.1418,8560
6,2866,1292.4568,7625
6,6474,616.7981,9369
6,10662,1987.0579,9275
6,15061,2048.3355,8941
6,19597,1489.6116,13283
6,21121,4951.4490,14597
6,27474,3976.6744,8864
6,36061,3369.1508,12188
6,42121,2907.9827,11387
6,52662,228.5144,14499
6,63121,2146.3920,11773
6,78061,4575.8429,8863
6,84121,204.8984,12953
6,103597,2921.8442,14491
6,105121,3185.9116,10143
6,126121,1907.8437,10287
6,127121,1552.1304,9539
6,128121,514.2514,13661
7,1195,1532.9232,12270
7,3972,1728.5569,8653
7,6448,2381.7855,11518
7,9965,3893.1639,12924
7,13998,4578.3353,11978
7,17602,2281.7926,11135
7,22195,2756.9106,7359
7,27448,2938.9897,11703
7,34998,3291.0969,9071
7,43195,635.9844,14487
7,51965,4632.7435,11682
7,64195,1591.8130,14523
7,76998,492.0671,9226
7,85195,1527.2212,10601
7,101602,1534.8539,9344
7,106195,2670.9811,12578
7,129195,2316.1658,10798
8,964,1426.6462,12221
8,3010,2012.0974,8032
8,6548,2047.8866,13503
8,10004,567.4525,10873
8,13860,2977.4612,13767
8,17185,2132.6559,7382
8,20637,1841.2583,12968
8,21964,1744.5916,13123
8,27548,3219.0544,8132
8,34860,3131.4489,13832
8,41637,2564.6935,8026
8,42964,1969.1926,11949
8,52004,4742.9531,12498
8,62637,4490.8345,12942
8,63964,3695.6237,11830
8,76860,1377.0785,9055
8,84964,3161.2712,11760
8,101185,3780.3236,8866
8,105964,1267.5868,13599
8,125637,2238.3529,11915
8,126964,1043.5968,9932
8,127964,3831.3092,9535
8,128964,493.5090,8446
9,575,4146.1777,10141
9,5494,875.7122,10832
9,7793,4646.3639,9491
9,10554,1107.9770,8272
9,13688,1714.3676,9960
