routineAssignedTimeStamp,routineServiceNumber
2017-02-24 12:14:31.240,1
2018-03-09 00:40:15.570,2
2017-08-20 05:57:08.170,3
2019-10-27 02:54:44.830,4
2019-08-09 21:11:39.300,5
2018-08-09 03:37:11.840,6
2019-02-26 04:02:44.860,7
2018-02-01 14:02:20.620,8
2019-11-29 15:20:03.450,9
2017-07-11 19:23:43.030,10
2018-11-03 08:54:29.190,11
2018-05-25 13:17:19.060,12
2019-01-11 12:15:51.610,13
2017-07-05 00:46:42.880,14
2018-04-29 05:39:43.310,15
2018-11-05 18:37:51.970,16
2019-02-12 12:50:27.190,17
2017-08-04 23:33:33.960,18
2017-03-02 06:47:57.820,19
2018-01-01 03:59:41.590,20
2019-09-01 07:37:16.610,21
2018-09-18 03:41:05.270,22
2018-12-05 00:13:14.910,23
2019-05-23 08:00:02.040,24
2019-01-22 01:04:03.380,25
2019-03-23 02:43:59.490,26
2017-01-09 09:28:25.430,27
2018-12-17 16:30:54.500,28
2019-04-03 21:01:32.190,29
2019-11-08 13:21:26.410,30
2017-10-24 05:07:44.980,31
2019-12-13 03:55:17.970,32
2018-07-31 15:30:16.990,33
2019-11-20 14:50:52.610,34
2019-01-07 23:21:42.610,35
2018-09-23 17:45:21.570,36
2017-11-16 10:06:16.590,37
2017-08-01 11:51:26.030,38
2017-12-08 10:06:15.630,39
2018-08-16 01:13:59.920,40
2018-05-31 20:13:08.640,41
2019-06-19 01:39:25.860,42
2018-02-13 17:22:58.330,43
2017-02-14 09:44:16.980,44
2017-04-11 04:29:54.120,45
2018-10-04 09:55:39.480,46
2017-09-13 11:22:55.190,47
2019-10-22 14:11:43.550,48
2019-02-01 14:14:12.170,49
2019-12-14 22:59:51.900,50
2019-09-14 15:42:53.750,51
2018-02-22 00:27:31.820,52
2017-02-10 00:26:44.940,53
2018-09-19 04:54:24.430,54
2019-10-18 18:19:18.220,55
2019-08-10 16:10:09.960,56
2017-02-02 19:05:20.080,57
2017-02-14 05:08:25.700,58
2019-05-01 11:41:02.110,59
2018-05-26 20:08:56.860,60
2017-08-06 07:03:22.520,61
2019-03-01 16:27:34.990,62
2019-08-29 12:06:00.670,63
2017-07-05 20:33:51.070,64
2019-11-25 11:18:22.630,65
2019-08-14 07:21:57.130,66
2019-07-22 11:18:23.020,67
2019-10-10 15:11:53.660,68
2019-07-05 06:08:31.020,69
2018-06-05 22:42:22.170,70
2018-06-01 09:42:31.780,71
2017-08-31 10:19:46.850,72
2017-07-12 22:16:23.860,73
2019-09-01 14:27:14.000,74
2017-03-03 15:07:37.980,75
2017-06-22 21:25:09.030,76
2019-07-03 23:00:48.270,77
2018-12-18 10:55:37.420,78
2018-08-19 22:42:04.840,79
2018-05-24 23:50:49.270,80
2019-09-20 16:40:39.620,81
2019-03-05 19:33:29.110,82
2018-12-02 16:23:10.410,83
2017-09-08 00:25:39.450,84
2017-03-30 17:07:29.610,85
2017-03-14 04:41:07.000,86
2018-03-14 14:24:28.300,87
2019-02-09 03:41:56.220,88
2019-11-18 14:37:37.560,89
2017-10-05 16:26:53.260,90
2019-07-24 06:42:49.890,91
2017-12-16 15:04:51.340,92
2017-08-30 13:24:09.930,93
2018-05-17 12:46:58.570,94
2017-10-19 15:31:12.810,95
2019-06-08 15:06:58.760,96
2017-01-21 23:41:25.820,97
2019-05-04 06:35:47.790,98
2018-08-04 07:59:00.410,99
2019-12-06 01:30:00.680,100
2019-07-19 06:32:30.120,101
2017-08-06 17:35:03.250,102
2018-05-29 18:23:32.240,103
2019-07-31 20:44:54.590,104
2019-11-27 18:52:19.730,105
2018-04-19 13:14:10.010,106
2019-05-18 22:55:34.160,107
2017-01-19 23:39:40.470,108
2017-09-27 22:37:01.760,109
2017-01-28 02:07:10.320,110
2018-07-19 05:31:23.990,111
2018-06-24 00:44:52.820,112
2017-09-06 12:19:25.850,113
2017-11-18 21:09:30.970,114
2017-05-07 06:40:06.010,115
2019-03-04 14:59:36.020,116
2017-07-04 06:26:04.300,117
2019-05-10 22:22:47.750,118
2017-04-23 07:58:06.750,119
2017-03-10 01:09:16.390,120
2018-09-12 14:13:02.320,121
2017-01-10 07:52:00.020,122
2018-09-07 23:01:38.090,123
2017-12-26 08:01:51.200,124
2018-11-10 01:22:21.970,125
2018-05-25 19:13:58.960,126
2019-06-17 04:17:29.810,127
2019-09-13 12:48:09.540,128
2019-01-14 15:37:09.030,129
2017-12-11 08:03:16.640,130
2017-02-20 23:23:10.260,131
2019-07-10 22:13:42.650,132
2018-04-21 06:24:07.060,133
2018-09-06 01:08:19.650,134
2018-06-15 05:20:10.150,135
2019-10-25 23:14:49.940,136
2017-02-26 18:12:13.000,137
2019-07-08 10:01:31.010,138
2018-10-30 13:57:06.860,139
2017-04-10 12:48:57.480,140
2018-03-07 18:53:31.040,141
2017-03-23 00:29:18.080,142
2018-10-30 17:36:16.550,143
2019-08-28 14:32:40.860,144
2017-09-21 04:21:05.880,145
2018-07-13 12:39:35.480,146
2017-07-16 11:15:26.550,147
2018-05-16 18:38:34.080,148
2019-01-19 04:35:15.820,149
2019-10-25 18:48:09.350,150
2017-05-29 23:19:21.800,151
2018-03-30 09:01:59.410,152
2017-10-04 16:09:06.110,153
2019-01-20 20:47:02.030,154
2017-10-02 04:40:02.280,155
2018-09-24 02:33:26.330,156
2018-07-23 11:00:02.030,157
2017-10-24 07:20:14.670,158
2019-01-30 20:11:39.550,159
2019-03-04 23:58:16.330,160
2018-04-05 09:01:58.830,161
2017-12-11 09:53:08.070,162
2019-01-09 02:08:34.280,163
2017-11-01 13:30:55.670,164
2017-07-21 16:30:57.240,165
2017-10-10 07:33:25.540,166
2018-11-02 04:41:44.490,167
2018-03-20 12:21:45.580,168
2018-03-17 03:02:00.130,169
2019-04-25 18:30:08.180,170
2018-07-01 18:07:03.400,171
2017-02-09 01:12:07.380,172
2018-10-12 19:14:23.170,173
2018-03-22 05:23:44.740,174
2018-03-13 22:05:51.640,175
2019-02-18 09:09:12.200,176
2018-08-12 17:29:46.940,177
2017-10-25 10:28:59.060,178
2017-02-14 14:56:28.170,179
2018-11-07 15:23:42.380,180
2017-10-12 04:12:20.030,181
2018-09-27 00:35:53.310,182
2018-08-10 00:14:00.700,183
2017-02-17 11:30:51.870,184
2018-01-20 15:43:24.600,185
2018-07-22 07:05:27.550,186
2017-08-30 05:26:12.860,187
2017-02-05 16:06:34.730,188
2018-01-31 19:11:46.690,189
2019-10-19 14:35:41.270,190
2017-09-20 03:36:03.700,191
2019-08-09 06:26:02.230,192
2017-08-25 06:07:15.280,193
2017-11-03 12:43:32.080,194
2019-01-11 06:55:59.880,195
2017-07-12 15:13:58.800,196
2019-05-21 06:09:58.980,197
2019-01-22 02:30:44.800,198
2019-04-26 00:12:30.770,199
2018-09-16 12:02:46.520,200
2018-01-31 01:23:40.760,201
2019-07-02 20:56:17.790,202
2017-11-22 08:32:33.280,203
2019-10-05 06:42:40.600,204
2019-02-21 08:48:53.200,205
2018-06-30 17:06:23.960,206
2018-06-04 06:15:42.770,207
2019-08-15 10:41:10.330,208
