utilityCostNumber,electricityUnitRate,waterUnitRate,utilityTimeCreated,utilityRentalNumber,utilityStartingTime,utilityBillingNumber,utilityLineNumber
1,7.0000,1.0000,2019-07-19 06:51:53.790,98,2017-12-06 22:58:28.140,37,126386
2,7.0000,1.0000,2019-09-21 18:53:14.820,109,2019-06-13 15:10:27.500,42,126494
3,7.0000,1.0000,2019-11-15 22:09:54.990,103,2019-03-13 19:30:04.400,40,10161
4,7.0000,1.0000,2019-10-24 09:48:47.840,75,2018-06-26 13:45:01.210,29,8693
5,7.0000,1.0000,2018-10-09 09:08:07.620,28,2017-03-20 20:09:15.860,11,21929
6,7.0000,1.0000,2019-03-03 16:52:43.840,134,2019-05-08 01:51:52.870,52,104955
7,7.0000,1.0000,2017-06-17 22:31:47.200,121,2018-05-30 20:42:07.150,47,77322
8,7.0000,1.0000,2017-12-18 07:48:29.380,59,2018-03-31 21:35:19.290,22,127662
9,7.0000,1.0000,2018-05-03 15:17:51.870,131,2018-04-18 19:32:00.520,51,18093
10,7.0000,1.0000,2018-08-23 05:29:09.640,37,2018-02-18 13:38:19.750,14,84879
11,7.0000,1.0000,2018-02-18 13:06:22.730,39,2019-01-05 06:58:45.670,15,65003
12,7.0000,1.0000,2019-12-11 07:38:59.090,62,2019-08-12 15:48:37.410,24,21226
13,7.0000,1.0000,2017-01-11 01:50:56.150,85,2017-06-08 03:46:28.030,32,86440
14,7.0000,1.0000,2018-02-10 03:06:20.980,63,2018-03-25 09:15:58.740,24,34459
15,7.0000,1.0000,2018-10-15 11:08:42.260,131,2019-01-25 08:09:54.910,51,52457
16,7.0000,1.0000,2019-05-15 12:55:03.160,5,2017-08-18 05:04:25.370,2,42244
17,7.0000,1.0000,2017-01-17 22:06:45.450,115,2019-01-25 06:54:30.930,45,21407
18,7.0000,1.0000,2017-04-03 09:44:23.670,133,2018-07-27 09:21:44.980,52,21459
19,7.0000,1.0000,2018-05-02 22:22:30.490,91,2018-08-23 09:29:17.400,35,12066
