vendorNumber,vendorName,vendorType,vendorBuildingNumber,vendorStreetName,vendorSubdistrict,vendorDistrict,vendorProvince,vendorPostalCode,vendorEmail,vendorEmployeeNum,vendorCreatedTimestamp
1,Big C,D,333,Pattaya Klang,Nongprue,Banglamung,Chonburi,20150,Nongprue@gmail.com,36,2011-12-03 18:09:14.760
2,Tesco Lotus,D,99,Teprattana,Bangwua,Bangpakong,Chachoengsao,24130,Koh Chang@gmail.com,38,2010-06-17 08:10:20.130
3,Makro,D,99/30,Rural road,Koh Chang,Koh Chang,Trat,23170,Bangwua759@gmail.com,19,2011-03-29 20:33:08.270
4,Tesco Lotus,D,66,Sukhumvit,Pla,Ban Chang,Rayong,21130,Tesco LotusASaton@gmail.com,43,2010-07-10 23:13:09.100
5,Tesco Lotus,D,88,Chantraburi - Srakaew,Patong,Soi dao,Chanthaburi,22180,Ko kut8@gmail.com,3,2011-07-07 10:15:10.440
6,Tesco Lotus,D,179,Sukhumvit,Sattahip,Sattahip,Chonburi,20180,Tesco LotusPla@outlook.com,26,2010-02-12 06:26:52.050
7,Tesco Lotus,D,279/1,Sukhumvit,Thang Kwian,Klaeng,Rayong,21110,MakroThang Kwian98@gmail.com,13,2011-02-23 20:46:13.250
8,Thai Shop&Room,D,77,6038,Ko kut,Ko kut,Trat,23000,Patong@outlook.com,41,2010-03-30 20:28:25.770
9,Sadorn Market,D,55,3424,Saton,Soi dao,Chanthaburi,22180,Ko kut@gmail.com,23,2011-09-10 11:59:23.740
10,Tesco Lotus,D,33,Sook Prayoon,Kut Ngong,Phanat nikhom,Chonburi,20140,Tesco Lotus.VPla7@gmail.com,12,2010-09-06 11:49:07.920
